bv1,bv2,bv3,severity,label
4445.448884511384,4368.415542433555,4295.532489348781,0.3,1
4445.448884511384,4433.53712581495,4421.899283449614,0.35,1
4445.448884511384,4335.664569968396,4234.384414882404,0.4,1
4445.448884511384,4405.695286396855,4368.701375125399,0.9,1
4445.448884511384,4401.620503257982,4361.122408834644,1.0,1
3756.2782883518908,3746.3472546659746,3736.511397948124,0.05,0
3756.2782883518908,3734.8811234111326,3713.870942387205,0.1,0
3756.2782883518908,3722.5342233449974,3689.7340486357584,0.15,0
3756.2782883518908,3738.4099758413013,3721.1778615094113,0.5,0
3756.2782883518908,3733.5297455253985,3711.7639671947995,0.6,0
3756.2782883518908,3728.572673818877,3702.310055618418,0.7,0
3756.2782883518908,3723.770975956641,3693.241962814614,0.8,0
3756.2782883518908,3709.3055779933347,3664.158062573044,0.2,1
3756.2782883518908,3695.224058704559,3637.231449276287,0.25,1
3756.2782883518908,3680.329051243239,3608.9853580351596,0.3,1
3756.2782883518908,3745.1811337756403,3734.347825308212,0.35,1
3756.2782883518908,3648.332448294321,3550.8482071853696,0.4,1
3756.2782883518908,3719.3772639971335,3684.9750306265096,0.9,1
3756.2782883518908,3715.621668607204,3677.9641313515194,1.0,1
4893.774438916455,4883.4944169738465,4873.291008179466,0.05,0
4893.774438916455,4871.728984310439,4850.047093889432,0.1,0
4893.774438916455,4859.024190079461,4825.145158374748,0.15,0
4893.774438916455,4874.169084902887,4855.306446235428,0.5,0
4893.774438916455,4868.821677059885,4845.043292575165,0.6,0
4893.774438916455,4863.374682985275,4834.683451579228,0.7,0
4893.774438916455,4858.088587920711,4824.714433880438,0.8,0
4893.774438916455,4845.372921551607,4798.626455918279,0.2,1
4893.774438916455,4830.784687697782,4770.593659386455,0.25,1
4893.774438916455,4815.2889306866045,4741.150087348654,0.3,1
4893.774438916455,4881.563453016158,4869.650438493192,0.35,1
4893.774438916455,4781.8084503127075,4679.241181587243,0.4,1
4893.774438916455,4853.241293339817,4815.656477186233,0.9,1
4893.774438916455,4849.083825791919,4807.948094363411,1.0,1
4333.8542789810335,4323.613382911161,4313.531267640473,0.05,0
4333.8542789810335,4311.6736628789,4289.988681587866,0.1,0
4333.8542789810335,4298.805022355855,4264.845387261932,0.15,0
4333.8542789810335,4315.313638979127,4297.451847831578,0.5,0
4333.8542789810335,4310.198471868299,4287.603211158264,0.6,0
4333.8542789810335,4304.990929441447,4277.6606952169,0.7,0
4333.8542789810335,4299.93967929854,4268.09608176318,0.8,0
4333.8542789810335,4285.005862693631,4238.136616472665,0.2,1
